mois_volume,volume_pf,price_pf_eur_MWh,volume_indexe,price_indexe_eur_MWh,volume_indexe_engagement,volume_fixe,volume_non_fixe,price_fixation_eur_MWh,volume_total_marges,Marge_brute_euro_MWh,Marge_nette_euro_MWh,FPMA_euro_MWh,marge_complementaire_fixation
2022-02-01,2057566.5598347378,17.600028907844877,1497458.157992046,0.24225619616992972,1562666.9841311139,831906.7362891935,730760.2478419204,16.35518346337149,3565549.910507781,1.4779718163282065,0.4894194024609525,0.12073962512949694,0.13537008151848265
2022-03-01,1863174.3784370844,17.52203470156735,1408462.6218667668,0.22784729833635955,1472426.5666703016,774982.9734201205,697443.5932501811,16.349199093410963,3277486.291536108,1.390741362736213,0.42636857907921555,0.11302080269346641,0.13561625086279777
2022-04-01,1211780.0696413023,17.358363670041683,1045523.8951201754,0.20027631215943553,1084668.8107058005,548509.1948727564,536159.6158330442,16.077642700981446,2255978.095388371,1.190237562052813,0.2917924187507972,0.09588860200593806,0.1405010985050476
2022-05-01,728067.5035906067,17.108020978354784,746294.4185164125,0.13494187372715885,772003.4608358364,377337.56212348666,394665.8987123497,16.050262310940504,1468630.2795921552,0.9267416351489988,0.14794198524121907,0.06861599458228537,0.13759597906883297
2022-06-01,526468.9256748937,16.85359984161695,655149.1219305792,0.09688753751135651,674297.2702821482,306085.5230422082,368211.7472399399,16.025610952626995,1175198.9297580018,0.7173639235833594,0.03462061385008512,0.054490811769264944,0.13875958365123564
2022-07-01,457398.3068427968,16.841779144066674,579274.4927358502,0.08038654138498948,598641.7163259858,272299.2563005851,326342.46002540074,16.15603431051206,1029922.2124017073,0.6773048850509994,-0.0028950879263373776,0.05183401596841845,0.1342833839136867
2022-08-01,422252.9395540691,16.828211169954393,503908.4599850481,0.08450617961380662,515402.4302739558,244071.2119139793,271331.21835997654,16.15632253812732,918996.2386619551,0.691477531528333,-0.00220791674928732,0.05288684329916224,0.13417470357997052
2022-09-01,542056.1288621386,16.796275604945617,679070.5825307936,0.08129654120675367,700795.0805589902,312778.2449118611,388016.83564712916,16.20575473511142,1213329.1067699804,0.7330114809434961,0.00907584522386136,0.05661095127620566,0.13117547323984835
2022-10-01,949296.3460952742,16.879157736081826,1005789.8566333589,0.11786074760727953,1055018.2629026582,462637.9040948837,592380.3588077745,16.416540211827133,1961074.4089599678,0.9865419720616383,0.09082935476370088,0.08250069434063304,0.12391152071575437
2022-11-01,1379507.705747427,16.97319803699282,1261231.7505557192,0.16449380301031855,1321357.370508451,593137.5642795877,728219.8062288633,16.668560825374566,2642847.3251700127,1.2231786040522288,0.2010535942536989,0.107638601955942,0.12943657639271341
2022-12-01,1644700.1538891084,17.005111364766393,1325082.6483877045,0.20076325854050978,1393972.5441134425,647178.2056254601,746794.3384879824,16.903524045371547,2973780.8853658624,1.345705947564801,0.23858952678289813,0.12421439827107983,0.12788140981442173
2023-01-01,1467008.00755155,16.86070258135994,967934.4091711486,0.12434843756230719,1031196.0991553197,307237.7489754414,723958.3501798783,16.00807308686182,2437451.9624603232,1.7967682581737145,0.5442007027216722,0.14606427351841847,0.19102824374152977
2023-02-01,1170506.8955249214,16.768850039894247,877909.5638102436,0.1211769462981973,926616.8603461989,279461.07030074554,647155.7900454534,15.95482082066944,2049531.8782736685,1.6657781116793497,0.449759613500184,0.14195180324510925,0.18388925742806295
2023-03-01,1071022.725636125,16.69098472221111,841441.9967785048,0.1172367092664876,886309.3453744658,257316.2672282395,628993.0781462262,15.904566481361313,1912695.6875810612,1.6072164217690383,0.4148298019645721,0.13325589100076232,0.18877110750924225
2023-04-01,706685.4069031772,16.569881255236385,638212.6080787417,0.10649084384653305,663116.8284573377,197384.72277502026,465732.1056823174,15.858420413559267,1344512.991216284,1.4090974747994272,0.2887812801072555,0.11366347148538769,0.18927581299511484
2023-05-01,431911.36489553575,16.28774970530817,523821.7421764279,0.07393023169646645,535121.8757750178,163992.2786952955,371129.59707972227,15.454620589422252,954901.8969944314,1.0905111910397869,0.11845027543462264,0.08346616734283197,0.1707677167960947
2023-06-01,316001.0665753202,16.168172306410156,478091.36077200226,0.05719178007883909,482688.3744295085,148457.90630248224,334230.4681270263,15.339445737140478,793256.8764816071,0.8555173994395053,-0.017721266549215454,0.06948055328462588,0.16730391462195704
2023-07-01,285795.9389087201,16.09722861527043,466266.64914890425,0.055517700886260214,469728.94033139123,145225.01053219792,324503.9297991933,15.24222809278191,751230.3899364779,0.7955548248182809,-0.05672084776113862,0.06709706443339453,0.1651970878185379
2023-08-01,256488.7830272716,16.093349747861257,391442.9871122677,0.05541015312398187,394648.37607084383,119499.10181413847,275149.27425670536,15.365789673283853,646983.121818962,0.8284091880736283,-0.02250656220135329,0.06683228624729587,0.14192219583622354
2023-09-01,323809.8545732472,16.103727329519725,535435.3327713953,0.05696494189380597,540196.2031232733,166012.51288962064,374183.6902336527,15.326882388858195,858384.6809901305,0.8550634484431828,-0.027781007895749266,0.06982020676347186,0.15882518758213884
2023-10-01,537161.9692867047,16.286217920875394,807172.0898014578,0.07896907859031113,828260.4662311572,242471.27002323628,585789.1962079209,15.503370392321271,1343601.4860008517,1.1366302771097359,0.09665340572074115,0.09699566552892003,0.14649497378022716
2023-11-01,719730.0207279465,16.486443097971595,904407.2672627197,0.12003079096509094,906233.4596598361,287044.4363637497,619189.0232960865,15.756668825723361,1623414.5557198892,1.4170573013046186,0.2002409024811851,0.11444117960137835,0.1421087731922057
2023-12-01,826191.8627903413,16.588748728607342,852070.8683860464,0.13931454234274232,853425.1666551621,291143.6958204832,562281.470834679,15.939468260394884,1677821.6051725585,1.5889830603760102,0.2873059356910351,0.1334431013824327,0.1426641413985143
2024-01-01,667121.626506959,16.729879391137178,534776.2647687076,0.1529664167423386,533518.684771649,130270.51362051534,403248.1711511336,16.1397161121125,1201574.4971615863,2.2466997644872677,0.7558148621918102,0.16746875303436223,0.09755387581250843
2024-02-01,534700.5716828938,16.6835630719122,480417.58975128666,0.15158665346850425,479673.0761669214,118142.82262510664,361530.25354181475,16.13096463495238,1014865.0779622116,2.02795808433713,0.5918759496655126,0.16014397097620905,0.09299773373199405
2024-03-01,489969.14504132717,16.633813876074203,454349.8770346682,0.1395829362677543,453855.0608272945,112062.05627314471,341793.00455414975,16.134054680291598,943907.9143842286,1.9180143190465044,0.5328126175344818,0.1498058110847333,0.09507039648971165
2024-04-01,326049.6475277737,16.524632494395803,340006.1226345019,0.11120305176712839,339984.58365009277,86207.86956870023,253776.71408139254,16.00983988974405,665698.9101812578,1.655705591991249,0.3847624055983304,0.12806758877936544,0.09168066662925332
2024-05-01,210264.41935630015,16.359649274355927,282761.16886470706,0.06503276274864155,283111.97950265626,68440.809967565,214671.16953509126,15.851038385889602,492937.7482395733,1.231755401523343,0.1708462203227013,0.09606188209437218,0.09298304579834106
2024-06-01,159946.0838816376,16.246509283406535,263771.729624225,0.04091044989229416,264518.3319087027,62357.23312189398,202161.0987868087,15.77952217498148,423776.67766988435,0.9484879706206835,0.016936371828456,0.07855253560964925,0.09326696387058475
2024-07-01,139397.90281340329,16.185973997993468,252304.72349141995,0.03768567444720815,252822.21909310613,59583.620405798116,193238.59868730803,15.728651194195724,391862.31300664606,0.8751069709869526,-0.03349114532839,0.07573657216706436,0.09330884469750429
2024-08-01,127247.35358801045,16.163410595098853,218155.21841061834,0.03590523089386665,218597.95882166477,52022.312386466794,166575.64643519797,15.809331965322473,345428.83084889053,0.9045650942137935,0.001694987354408144,0.07554291824171783,0.09148744801962343
2024-09-01,156836.96723768162,16.196636024327464,302874.8250529149,0.04061720149775909,303507.1679746612,69763.56984052235,233743.59813413885,15.775210915666067,459641.7983459742,0.8997153645402746,-0.03626586539405133,0.07995167059727383,0.08950800980386926
2024-10-01,227037.87222736777,16.541189489691227,465646.9733095995,0.08108198486030035,466014.67729196977,105140.72178179307,360873.9555101767,15.787999340615384,692447.9921544247,1.1417641058637327,0.04370517460874898,0.10734681753566425,0.08456046816661529
2024-11-01,280702.8459338285,16.83538203587527,489893.837728757,0.1543914958048122,490445.88057577773,121397.17490223718,369048.70567354053,15.897915843915545,770555.2704300949,1.3398924018529992,0.06289993950161311,0.14000164120521208,0.06938444952603913
2024-12-01,299428.0483350395,17.09195644613333,458010.2180314588,0.18064675669787422,458431.9267136788,117046.03041961137,341385.89629406744,16.066617282067448,757542.9203104794,1.4462440281720517,0.050200223157934036,0.16713537744368204,0.06671082586926694
2025-01-01,120352.66659888206,18.39906592855688,222950.414895452,0.3053386146436347,222450.45205136476,4723.0869815346,217727.36506983015,16.769676988768275,343522.44982358394,1.8125680633262935,0.0001301501934464989,0.23885993209547435,0.1322256934534869
2025-02-01,98294.27476528303,18.24873546396944,198391.17176937914,0.3054297417713697,198185.21241310315,4192.768800227168,193992.44361287597,16.755678905343533,296825.34708359075,1.5636625920843767,-0.17266963825098566,0.22732672971273524,0.1261757068810527
2025-03-01,89166.37023729204,18.18316456465405,140086.44954978887,0.3880009903040345,139420.38117586094,4382.164175674854,135038.2170001861,16.746537152410628,229361.84377181344,1.736771396995528,-0.11324343359655563,0.2605042173354024,0.1254031296305902
2025-04-01,59222.27353472947,17.843881430653767,94439.3993047121,0.33331618299096993,94217.63049939596,3494.3203682441026,90723.31013115185,16.69634150351206,153732.4778278298,1.5412250041365751,-0.14202535701417943,0.22522997546000992,0.12510696276566236
2025-05-01,38700.034139369265,17.23742950807631,60308.5732789221,0.2373483090702075,60343.79005101842,4146.731805597172,56197.05824542125,16.598828866767345,99051.98756144957,1.2487431362117543,-0.14463750744678336,0.16677015830248146,0.1594972112899289
2025-06-01,30369.67811666724,16.610982604490843,46498.72537755167,0.16084878118831977,46659.64481723491,3997.305280786871,42662.33953644804,16.57542621119328,76893.78036975964,1.0515435197265182,-0.1088034953376151,0.12942778640743494,0.16393808130007043
2025-07-01,26313.207934926442,16.357286220121214,33086.67688166309,0.022389929132350873,33111.47717393955,3683.624897260597,29427.852276678954,16.584193325592732,59418.60682316553,1.0799814275431503,0.13890957103619672,0.09809230497030869,0.1636149261297965
2025-08-01,23947.584174540847,16.28218229351246,29355.495902092818,0.02121549447758431,29376.33147118818,3273.891388775247,26102.440082412933,16.587964615699576,53325.35760717923,1.0472580335627009,0.1212110811079127,0.09868611109835544,0.16185325185596833
2025-09-01,30682.94644121887,16.20988288449182,33245.99322288575,0.021114922920692662,33223.529743987056,6287.9927363672105,26935.537007619845,16.816045543974518,63931.91705953558,1.0444126244295486,0.11080852987079154,0.10389649366290875,0.2775082692745025
2025-10-01,43446.087705225604,16.532440861414774,42122.11434058698,0.017338426571713354,42148.857301768825,7227.547862758622,34921.309439010205,16.823395245214993,85585.29580224318,1.2099412327182573,0.14979719337703337,0.1481683040784118,0.27776464568000764
2025-11-01,39908.80840500301,17.17709400883965,39400.862008616066,0.020245524101272828,39441.19805223889,7805.241349066124,31635.956703172767,16.81323814047455,79341.12196743052,1.2978938412888736,0.04789313639106464,0.17557410843280732,0.26274073684635013
2025-12-01,43497.0222089166,17.516448069628947,38068.08405018884,0.019145338072733824,38121.756429282446,6520.674651086483,31601.081778195963,16.8248731565993,81610.2458199507,1.4042763839971888,0.04300344245726944,0.20622318743075815,0.2714689120877357
