profil,station,month,coef
P018,16089001,8,0.00207870304652615
P018,16089001,9,0.00877335266291538
P018,16089001,10,0.0475610103802719
P018,16089001,11,0.119751205426062
P018,16089001,12,0.169687112899956
P018,18033001,1,0.245814020682814
P018,18033001,2,0.183969555911301
P018,18033001,3,0.155800971933887
P018,18033001,4,0.0921435691923341
P018,18033001,5,0.0233703308489347
P018,18033001,6,0.00304667037738825
P018,18033001,7,0.0020185598818707
P018,18033001,8,0.0017172365870509
P018,18033001,9,0.00861192966629881
P018,18033001,10,0.0652733201611164
P018,18033001,11,0.163813797875689
P018,18033001,12,0.189417056579798
P018,21473001,1,0.218560893183307
P018,21473001,2,0.164518868204123
P018,21473001,3,0.143639494575589
P018,21473001,4,0.0811619467652886
P018,21473001,5,0.0263469476963163
P018,21473001,6,0.00423055669693256
P018,21473001,7,0.00315864167119064
P018,21473001,8,0.00257360922749646
P018,21473001,9,0.00734246648662782
P018,21473001,10,0.057178813572448
P018,21473001,11,0.122421198859139
P018,21473001,12,0.165912140907038
P018,25056001,1,0.218560893183307
P018,25056001,2,0.164518868204123
P018,25056001,3,0.143639494575589
P018,25056001,4,0.0811619467652886
P018,25056001,5,0.0263469476963163
P018,25056001,6,0.00423055669693256
P018,25056001,7,0.00315864167119064
P018,25056001,8,0.00257360922749646
P018,25056001,9,0.00734246648662782
P018,25056001,10,0.057178813572448
P018,25056001,11,0.122421198859139
P018,25056001,12,0.165912140907038
P018,26198001,1,0.195661829110853
P018,26198001,2,0.142886084533254
P018,26198001,3,0.126388530200228
P018,26198001,4,0.066152377586992
P018,26198001,5,0.0216973461591621
P018,26198001,6,0.00205099750118296
P018,26198001,7,0.00147097148571358
P018,26198001,8,0.00129605351241823
P018,26198001,9,0.00440893627420835
P018,26198001,10,0.0684642320319013
P018,26198001,11,0.122074832110984
P018,26198001,12,0.163901721851557
P018,28070001,1,0.209813105348802
P018,28070001,2,0.160287507458409
P018,28070001,3,0.150427791149053
P018,28070001,4,0.0803162426844048
P018,28070001,5,0.0312444183659413
P018,28070001,6,0.00390505559847159
P018,28070001,7,0.00326732532943457
P018,28070001,8,0.00246819643333578
P018,28070001,9,0.00584489398938564
P018,28070001,10,0.0615093923164503
P018,28070001,11,0.126785534997631
P018,28070001,12,0.163528244062122
P018,29075001,1,0.195401035877364
P018,29075001,2,0.168358431344633
P018,29075001,3,0.159831900180655
P018,29075001,4,0.101841687024489
P018,29075001,5,0.0376785265454593
P018,29075001,6,0.0036642275634545
P018,29075001,7,0.00298895229382868
P018,29075001,8,0.00171930076540418
P018,29075001,9,0.00694055151005251
P018,29075001,10,0.0200291348414342
P018,29075001,11,0.123929683302677
P018,29075001,12,0.165352348270273
P018,30189001,1,0.168606090723177
P018,30189001,2,0.115691291390887
P018,30189001,3,0.0991740162378823
P018,30189001,4,0.057590966812116
P018,30189001,5,0.0147027033979504
P018,30189001,6,0.0045034627303028
P018,30189001,7,0.00490590957579914
P018,30189001,8,0.00413841000727535
P018,30189001,9,0.00212770289657536
P018,30189001,10,0.0369412518651367
P018,30189001,11,0.152445472773783
P018,30189001,12,0.148693547394775
P018,31069001,1,0.190517455510161
P018,31069001,2,0.139196939740181
P018,31069001,3,0.12192285938278
P018,31069001,4,0.0713585703861563
P018,31069001,5,0.0269651830362607
P018,31069001,6,0.00359156013273881
P018,31069001,7,0.00236931319987765
P018,31069001,8,0.00186248404029318
P018,31069001,9,0.0040588792480097
P018,31069001,10,0.0369269294624693
P018,31069001,11,0.108604123254884
P018,31069001,12,0.155924788461246
P018,33281001,1,0.165678742180664
P018,33281001,2,0.136633203276166
P018,33281001,3,0.131353274866117
P018,33281001,4,0.079331323482589
P018,33281001,5,0.0134854469409986
P018,33281001,6,0.00474736374214111
P018,33281001,7,0.0047237954115195
P018,33281001,8,0.0042738579390995
P018,33281001,9,0.00632042659432784
P018,33281001,10,0.01528922937522
P018,33281001,11,0.120790890164217
P018,33281001,12,0.161838693446166
P018,35228001,1,0.205920823304411
P018,35228001,2,0.165742012472831
P018,35228001,3,0.157068651719725
P018,35228001,4,0.0970733708330328
P018,35228001,5,0.037772966298963
P018,35228001,6,0.00289481668071595
P018,35228001,7,0.00316360140184416
P018,35228001,8,0.00168271915992048
P018,35228001,9,0.00694089394626966
P018,35228001,10,0.0541346409980622
P018,35228001,11,0.132022875536011
P018,35228001,12,0.187220703722338
P018,37179001,1,0.218560893183307
P018,37179001,2,0.164518868204123
P018,37179001,3,0.143639494575589
P018,37179001,4,0.0811619467652886
P018,37179001,5,0.0263469476963163
P018,37179001,6,0.00423055669693256
P018,37179001,7,0.00315864167119064
P018,37179001,8,0.00257360922749646
P018,37179001,9,0.00734246648662782
P018,37179001,10,0.057178813572448
P018,37179001,11,0.122421198859139
P018,37179001,12,0.165912140907038
P018,38384001,1,0.276190888444565
P018,38384001,2,0.200796161923892
P018,38384001,3,0.170682355000569
P018,38384001,4,0.0896253917752541
P018,38384001,5,0.0305718561650928
P018,38384001,6,0.00487577166655978
P018,38384001,7,0.00479971853762642
P018,38384001,8,0.00350463210363917
P018,38384001,9,0.0154248847376343
P018,38384001,10,0.0702115783747477
P018,38384001,11,0.195410453185704
P018,38384001,12,0.18375844778525
P018,42005001,1,0.195674560418436
P018,42005001,2,0.15860216696826
P018,42005001,3,0.13838353666582
P018,42005001,4,0.0770134240639287
P018,42005001,5,0.0219399374060844
P018,42005001,6,0.00522148022354638
P018,42005001,7,0.00539552956433126
P018,42005001,8,0.00539552956433126
P018,42005001,9,0.00790168459215849
P018,42005001,10,0.0626123293059806
P018,42005001,11,0.13229700971172
P018,42005001,12,0.189562811515404
P018,44020001,1,0.189511772572565
P018,44020001,2,0.162610157810418
P018,44020001,3,0.143734843303067
P018,44020001,4,0.0879093742720306
P018,44020001,5,0.0319009299488202
P018,44020001,6,0.00268400553172993
P018,44020001,7,0.00179552072463111
P018,44020001,8,0.00143740271261804
P018,44020001,9,0.00466659132870467
P018,44020001,10,0.0632304016698482
P018,44020001,11,0.124307370896072
P018,44020001,12,0.167346037446349
P018,47091001,1,0.199975194700267
P018,47091001,2,0.147070544671867
P018,47091001,3,0.126100433243655
P018,47091001,4,0.0742064335209742
P018,47091001,5,0.0215760960809892
P018,47091001,6,0.00432799716960337
P018,47091001,7,0.00260045112884847
P018,47091001,8,0.00240152931039646
P018,47091001,9,0.00479401891511978
P018,47091001,10,0.0954978788250587
P018,47091001,11,0.136308691022744
P018,47091001,12,0.151119911856271
P018,51449002,1,0.268056795128436
P018,51449002,2,0.196814813126064
P018,51449002,3,0.182363708268719
P018,51449002,4,0.097372007599415
P018,51449002,5,0.0325762476631729
P018,51449002,6,0.00273894775755769
P018,51449002,7,0.00164524330535101
P018,51449002,8,9.88672001350913e-4
P018,51449002,9,0.00661337445314917
P018,51449002,10,0.0743031678087825
P018,51449002,11,0.133168579720826
P018,51449002,12,0.208912678491072
P018,57039001,1,0.218560893183307
P018,57039001,2,0.164518868204123
P018,57039001,3,0.143639494575589
P018,57039001,4,0.0811619467652886
P018,57039001,5,0.0263469476963163
P018,57039001,6,0.00423055669693256
P018,57039001,7,0.00315864167119064
P018,57039001,8,0.00257360922749646
P018,57039001,9,0.00734246648662782
P018,57039001,10,0.057178813572448
P018,57039001,11,0.122421198859139
P018,57039001,12,0.165912140907038
P018,59343001,1,0.218560893183307
P018,59343001,2,0.164518868204123
P018,59343001,3,0.143639494575589
P018,59343001,4,0.0811619467652886
P018,59343001,5,0.0263469476963163
P018,59343001,6,0.00423055669693256
P018,59343001,7,0.00315864167119064
P018,59343001,8,0.00257360922749646
P018,59343001,9,0.00734246648662782
P018,59343001,10,0.057178813572448
P018,59343001,11,0.122421198859139
P018,59343001,12,0.165912140907038
P018,63113001,1,0.218560893183307
P018,63113001,2,0.164518868204123
P018,63113001,3,0.143639494575589
P018,63113001,4,0.0811619467652886
P018,63113001,5,0.0263469476963163
P018,63113001,6,0.00423055669693256
P018,63113001,7,0.00315864167119064
P018,63113001,8,0.00257360922749646
P018,63113001,9,0.00734246648662782
P018,63113001,10,0.057178813572448
P018,63113001,11,0.122421198859139
P018,63113001,12,0.165912140907038
P018,64024001,1,0.171515729582204
P018,64024001,2,0.125807251525788
P018,64024001,3,0.126895876573689
P018,64024001,4,0.0733653363208856
P018,64024001,5,0.0228480020136348
P018,64024001,6,0.00202006615730382
P018,64024001,7,0.00125112407955645
P018,64024001,8,0.00167483531160505
P018,64024001,9,0.00316654792001683
P018,64024001,10,0.00859972801061733
P018,64024001,11,0.0818382530716321
P018,64024001,12,0.116576206280774
P018,64549001,1,0.173072980255313
P018,64549001,2,0.146550638743417
P018,64549001,3,0.12896642170219
P018,64549001,4,0.0706877400161906
P018,64549001,5,0.0308565326434624
P018,64549001,6,0.00431451384583159
P018,64549001,7,0.00264083832686459
P018,64549001,8,0.00209051128794829
P018,64549001,9,0.00191251047854037
P018,64549001,10,0.0515405486438433
P018,64549001,11,0.155337800429785
P018,64549001,12,0.159278136565745
P018,66136001,1,0.143943846080477
P018,66136001,2,0.101955690970057
P018,66136001,3,0.0854757713562626
P018,66136001,4,0.0600350204238147
P018,66136001,5,0.01254805877342
P018,66136001,6,0.00429823449851278
P018,66136001,7,0.00357303310652873
P018,66136001,8,0.00202742445823252
P018,66136001,9,0.00102161078578383
P018,66136001,10,0.0329420821702251
P018,66136001,11,0.0704940593930551
P018,66136001,12,0.112021745500673
P018,67124001,1,0.252140765012948
P018,67124001,2,0.200864989803446
P018,67124001,3,0.155241621622369
P018,67124001,4,0.0927632319235191
P018,67124001,5,0.029174201141884
P018,67124001,6,0.00410825692668861
P018,67124001,7,0.00228459681985255
P018,67124001,8,0.00210541308679535
P018,67124001,9,0.00656072723425224
P018,67124001,10,0.0708371806430071
P018,67124001,11,0.187614982085103
P018,67124001,12,0.216525086960937
P018,68205001,1,0.252140765012948
P018,68205001,2,0.200864989803446
P018,68205001,3,0.155241621622369
P018,68205001,4,0.0927632319235191
P018,68205001,5,0.029174201141884
P018,68205001,6,0.00410825692668861
P018,68205001,7,0.00228459681985255
P018,68205001,8,0.00210541308679535
P018,68205001,9,0.00656072723425224
P018,68205001,10,0.0708371806430071
P018,68205001,11,0.187614982085103
P018,68205001,12,0.216525086960937
P018,68297001,1,0.252140765012948
P018,68297001,2,0.200864989803446
P018,68297001,3,0.155241621622369
P018,68297001,4,0.0927632319235191
P018,68297001,5,0.029174201141884
P018,68297001,6,0.00410825692668861
P018,68297001,7,0.00228459681985255
P018,68297001,8,0.00210541308679535
P018,68297001,9,0.00656072723425224
P018,68297001,10,0.0708371806430071
P018,68297001,11,0.187614982085103
P018,68297001,12,0.216525086960937
P018,69029001,1,0.218560893183307
P018,69029001,2,0.164518868204123
P018,69029001,3,0.143639494575589
P018,69029001,4,0.0811619467652886
P018,69029001,5,0.0263469476963163
P018,69029001,6,0.00423055669693256
P018,69029001,7,0.00315864167119064
P018,69029001,8,0.00257360922749646
P018,69029001,9,0.00734246648662782
P018,69029001,10,0.057178813572448
P018,69029001,11,0.122421198859139
P018,69029001,12,0.165912140907038
P018,70473001,1,0.260493668043282
P018,70473001,2,0.206074345529869
P018,70473001,3,0.171122134705158
P018,70473001,4,0.106856800675766
P018,70473001,5,0.0496998512863642
P018,70473001,6,0.00123447686983263
P018,70473001,7,0.00173507429069734
P018,70473001,8,0.00152437004813013
P018,70473001,9,0.00480563618472417
P018,70473001,10,0.0868303391396281
P018,70473001,11,0.163470437362026
P018,70473001,12,0.231847894913598
P018,73329001,1,0.241815483067993
P018,73329001,2,0.179775559798326
P018,73329001,3,0.155387042609097
P018,73329001,4,0.0876367179447362
P018,73329001,5,0.0311858183524767
P018,73329001,6,0.00323687811033536
P018,73329001,7,0.00249295737522354
P018,73329001,8,0.00273438290278968
P018,73329001,9,0.0076513966467841
P018,73329001,10,0.0873668762143355
P018,73329001,11,0.162371566394168
P018,73329001,12,0.231809114292768
P018,74042003,1,0.276190888444565
