profil,dtmth,ajust_climat_F,ajust_climat_T
P012,2025-09-01,-0.071745,-0.07027
P012,2025-10-01,-0.120245,-0.12267
P012,2025-11-01,-0.153645,-0.14887
P012,2025-12-01,-0.150745,-0.15267
P012,2026-01-01,-0.150745,-0.15267
P012,2026-02-01,-0.150745,-0.15267
P012,2026-03-01,-0.150745,-0.15267
P012,2026-04-01,-0.148945,-0.15367
P012,2026-05-01,-0.109145,-0.10447
P012,2026-06-01,-0.071745,-0.07027
P012,2026-07-01,0,0
P012,2026-08-01,0,0
P012,2026-09-01,-0.071745,-0.07027
P012,2026-10-01,-0.120245,-0.12267
P012,2026-11-01,-0.153645,-0.14887
P012,2026-12-01,-0.150745,-0.15267
P012,2027-01-01,-0.150745,-0.15267
P012,2027-02-01,-0.150745,-0.15267
P012,2027-03-01,-0.150745,-0.15267
P012,2027-04-01,-0.148945,-0.15367
P012,2027-05-01,-0.109145,-0.10447
P012,2027-06-01,-0.071745,-0.07027
P012,2027-07-01,0,0
P012,2027-08-01,0,0
P012,2027-09-01,-0.071745,-0.07027
P012,2027-10-01,-0.120245,-0.12267
P012,2027-11-01,-0.153645,-0.14887
P012,2027-12-01,-0.150745,-0.15267
P012,2028-01-01,-0.150745,-0.15267
P012,2028-02-01,-0.150745,-0.15267
P012,2028-03-01,-0.150745,-0.15267
P012,2028-04-01,-0.148945,-0.15367
P012,2028-05-01,-0.109145,-0.10447
P012,2028-06-01,-0.071745,-0.07027
P012,2028-07-01,0,0
P012,2028-08-01,0,0
P012,2028-09-01,-0.071745,-0.07027
P012,2028-10-01,-0.120245,-0.12267
P012,2028-11-01,-0.153645,-0.14887
P012,2028-12-01,-0.150745,-0.15267
P012,2029-01-01,-0.150745,-0.15267
P012,2029-02-01,-0.150745,-0.15267
P012,2029-03-01,-0.150745,-0.15267
P013,2016-04-01,0,0
P013,2016-05-01,0,0
P013,2016-06-01,0,0
P013,2016-07-01,0,0
P013,2016-08-01,0,0
P013,2016-09-01,0,0
P013,2016-10-01,0,0
P013,2016-11-01,0,0
P013,2016-12-01,0,0
P013,2017-01-01,0,0
P013,2017-02-01,0,0
P013,2017-03-01,0,0
P013,2017-04-01,0,0
P013,2017-05-01,0,0
P013,2017-06-01,0,0
P013,2017-07-01,0,0
P013,2017-08-01,0,0
P013,2017-09-01,0,0
P013,2017-10-01,0,0
P013,2017-11-01,0,0
P013,2017-12-01,0,0
P013,2018-01-01,0,0
P013,2018-02-01,0,0
P013,2018-03-01,0,0
P013,2018-04-01,0,0
P013,2018-05-01,0,0
P013,2018-06-01,0,0
P013,2018-07-01,0,0
P013,2018-08-01,0,0
P013,2018-09-01,0,0
P013,2018-10-01,0,0
P013,2018-11-01,0,0
P013,2018-12-01,0,0
P013,2019-01-01,0,0
P013,2019-02-01,0,0
P013,2019-03-01,0,0
P013,2019-04-01,0,0
P013,2019-05-01,0,0
P013,2019-06-01,0,0
P013,2019-07-01,0,0
P013,2019-08-01,0,0
P013,2019-09-01,0,0
P013,2019-10-01,0,0
P013,2019-11-01,0,0
P013,2019-12-01,0,0
P013,2020-01-01,0,0
P013,2020-02-01,0,0
P013,2020-03-01,0,0
P013,2020-04-01,0,0
P013,2020-05-01,0,0
P013,2020-06-01,0,0
P013,2020-07-01,0,0
P013,2020-08-01,0,0
P013,2020-09-01,0,0
P013,2020-10-01,0,0
P013,2020-11-01,0,0
P013,2020-12-01,0,0
P013,2021-01-01,0,0
P013,2021-02-01,0,0
